Date,Category,Amount,Description
2024-01-05,Food,850.00,Monthly grocery shopping
2024-01-08,Transport,200.00,Metro pass recharge
2024-01-10,Entertainment,499.00,Netflix subscription
2024-01-12,Food,320.00,Restaurant lunch with team
2024-01-15,Shopping,1500.00,New notebook and stationery
2024-01-18,Health,750.00,Pharmacy - vitamins and medicines
2024-01-20,Food,180.00,Evening snacks
2024-01-22,Transport,350.00,Auto ride to office
2024-01-25,Utilities,900.00,Electricity bill
2024-01-28,Education,1200.00,Online Python course
2024-02-02,Food,950.00,Weekly grocery shopping
2024-02-05,Transport,200.00,Bus pass renewal
2024-02-08,Entertainment,399.00,Amazon Prime subscription
2024-02-10,Food,450.00,Birthday dinner with friends
2024-02-14,Shopping,2500.00,Valentine's Day gift
2024-02-16,Health,600.00,Doctor consultation
2024-02-20,Utilities,750.00,Internet bill
2024-02-22,Food,250.00,Coffee and snacks
2024-02-25,Education,800.00,Programming books
2024-02-28,Transport,500.00,Cab rides this month
2024-03-01,Food,900.00,Grocery shopping
2024-03-05,Entertainment,299.00,Spotify subscription
2024-03-08,Shopping,3500.00,New clothes for summer
2024-03-12,Food,600.00,Team lunch outing
2024-03-15,Health,1200.00,Gym membership
2024-03-18,Utilities,850.00,Mobile recharge and bills
2024-03-20,Transport,400.00,Monthly transport costs
2024-03-25,Education,1500.00,Workshop registration fee
2024-03-28,Food,300.00,Swiggy order - biryani
2024-03-30,Entertainment,800.00,Movie tickets with friends
